videoId,title,channelId,channelTitle,duration,viewCount,likeCount,publishedAt,description,source
48h57PspBec,"$1 vs $1,000,000,000 Yacht!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,887,420457206,7659325,20230610,"Buy Feastables anywhere to get a secret MrBeast video: https://bit.ly/_feastables

Go watch Pete Davidson's new show ""Bupkis"" now live on Peacock!""
https://youtu.be/2x6h2VJ_m-c

Check out the all new ",yt-dlp
Wdjh81uH6FU,"$1 vs $10,000,000 Job!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,939,224510671,4517952,20231125,"I can’t believe they actually hired me lol
Try Immortals of Aveum today with a free trial for Playstation 5 and Xbox Series X|S, and a PC demo via Steam. https://bit.ly/3SV7oit #SponsoredByEA #Immorta",yt-dlp
KrLj6nc516A,"$1 vs $100,000,000 Car!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,988,373308855,7219492,20230916,"I have no idea why the last car was so expensive
See how cool the Samsung Galaxy Z Flip5 is for yourself: https://smsng.us/MrBeastZFlip5
Check out the Samsung Galaxy S23 Ultra, the official vlog cam o",yt-dlp
3ryID_SwU5E,"$1 vs $100,000,000 House!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1022,302117388,5910417,20231014,"I can’t believe how expensive the last house is

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/


New Merch - https://mrbeast.store

Check out Viewstats! - htt",yt-dlp
jObOjhUkf50,"$1 vs $250,000 Vacation!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,966,311340082,6360145,20230812,"I did not expect the $250,000 vacation to be that crazy…

Thank you teamLab Planets TOKYO for letting us film!

Thanks to the Pullman Paris Tour Eiffel -  http://www.instagram.com/pullmantoureiffel

A",yt-dlp
krsBRQbOPQ4,"$1 vs $250,000,000 Private Island!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1019,258955197,5501435,20240127,"Watch until the end to see how crazy the last island is 
Play my ALL NEW MrBeast’s Disco Dop level in Stumble Guys today! Download now to also build your own MrBeast level in the Workshop: https://stu",yt-dlp
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1060,172835557,4479094,20241102,"I didn’t know some of these were possible
MrBeast Lab Swarms are flying off the shelves! Grab yours now at Walmart, Target, Amazon, or top toy retailers worldwide. This video Includes promoted content",yt-dlp
tnTPaLOaHz8,"$10,000 Every Day You Survive In A Grocery Store",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1292,352342310,6644922,20231202,"I didn’t expect him to stay that long 
Shop Kanga Coolers, powered by Shopify: https://go.shop.app/kangacoolers

Special thanks to: 
Albertsons - https://bit.ly/MrBeastxSafeway
Starry - https://bit.ly",yt-dlp
U_LlX4t0A9I,"$10,000 Every Day You Survive In The Wilderness",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,1570,233373605,7822559,20240601,"They survived longer than I expected lol
Feast like a Beast with Zaxby’s new MrBeast Box, served with 4 Chicken Fingerz™, cheddar bites, fries, double Texas toast, two signature sauces, small drink…an",yt-dlp
snX5YyflrGw,"100 Identical Twins Fight For $250,000",UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,2139,130035131,3064244,20240928,"I’ve never seen this many twins in one place before lol
Our brand new flavor is here: Cookies & Creme, made with rich chocolatey filling, studded with crunchy cookie pieces and real creamy white choco",yt-dlp
